public_file,public_row,metric,public_value,authoritative_source,authoritative_value,raw_verified,difference,status
results/core/paper_master_numbers_p10c.csv,2,strict_word_fault_rows,1067712,::M5.5M1_FINAL_STATUS.txt::TOTAL_ROWS,1067712,True,0,VALID
results/core/paper_master_numbers_p10c.csv,3,flip_positions,71858832,::M5.5M1_FINAL_STATUS.txt::TOTAL_FLIP_POSITIONS,71858832,True,0,VALID
results/core/paper_master_numbers_p10c.csv,4,H_le_3_coverage_mean,0.7355736886,::authoritative M2 summary::H<=3 coverage mean,0.7355736886,True,0,VALID
results/core/paper_master_numbers_p10c.csv,5,true_codec_evaluations,713900,::M5.5N1_FINAL_STATUS.txt::TOTAL_TRUE_EVALUATIONS,713900,True,0,VALID
results/core/paper_master_numbers_p10c.csv,6,exposure_rate_lambda,0.06568547037,::frozen N2 summary::lambda,0.06568547037,True,0,VALID
results/core/paper_master_numbers_p10c.csv,7,absolute_total_hybrid_risk,0.04374840531,::frozen N2 summary::absolute_total_hybrid,0.04374840531,True,0,VALID
results/core/paper_master_numbers_p10c.csv,8,candidate_specs,324,::m55n3b0_summary.json::spec_count,324,True,0,VALID
results/core/paper_master_numbers_p10c.csv,9,unique_representations,44,::m55n3b0_summary.json::unique_count,44,True,0,VALID
results/core/paper_master_numbers_p10c.csv,10,deep_confirmed_representations,8,::M5.5N3B1C_FINAL_STATUS.txt::CONFIRMED,8,True,0,VALID
results/core/paper_master_numbers_p10c.csv,11,union_position_cv,0.8834596847,::M3D authoritative aggregate::union_cv,0.8834596847,True,0,VALID
results/core/paper_master_numbers_p10c.csv,12,top8_position_mass,0.4761350711,::M3D authoritative aggregate::top8_mass,0.4761350711,True,0,VALID
results/core/paper_master_numbers_p10c.csv,13,cross_chip_spearman_mean,0.9475562072,::M3D authoritative aggregate::spearman_mean,0.9475562072,True,0,VALID
results/core/paper_master_numbers_p10c.csv,14,HBM_to_DDR_transfer_ratio_mean,1.00644782,::M3F-R1 summary::hbm_to_ddr_ratio_mean,1.00644782,True,0,VALID
