relative_path,sha256,syntax_compile,repo_relative_paths,role,status
code/experiments/m55m3d_hbm_position_heterogeneity.py,13352bc67032055e025b9b878750a9aa9e7dca8cb6a190447a763fe637c1da55,PASS,True,selected_experiment,VALID
code/experiments/m55m3f_cross_technology_transfer.py,0670046c0d272cb32f91664034885a8327ac5c15eb713d5820f57ad25ee97d78,PASS,True,selected_experiment,VALID
code/experiments/m55m3g_cross_technology_robust.py,a75d5f9aeca80c66ed2d26f566049a13e1a92b50a73d1b19d804f1c90eec87bf,PASS,True,selected_experiment,VALID
code/experiments/m55n3b1c_deep_confirmation.py,5748493fe3d021e5f8012f2a68b74c03bc21cd6b6c2518db8b1803c48746e27a,PASS,True,selected_experiment,VALID
code/experiments/p1e_multiconfig_generality.py,cd6a48684214a8e3b453f3b8f32e7123fe9e689a265d96511aa9956b7ff18c61,PASS,True,selected_experiment,VALID
code/experiments/p5b0_cal_eval_split_sensitivity.py,12f1a8fd87604cfc6dfefdd896b38f062bf13813c8fe8b5e28cd6a04e7dc551c,PASS,True,selected_experiment,VALID
code/experiments/p6b2_corrected_binary_worker.py,c1d8ee66378bf1c55839b0a44b1e9b49dcd514efe4adaf8f09b42fd795768578,PASS,True,selected_experiment,VALID
code/experiments/p7a_r1_qwen3_32b_real_kv.py,8aedae7f6c649fe65f1d1524c97c3930dbb1b0bbf412875b00e3940a5f15f61c,PASS,True,selected_experiment,VALID
code/experiments/p7b_r2_exact_baselines.py,fb88f386ed9fa862870d4b777cac059eba7f5ba2fa27810cac29dc90c0d45b8c,PASS,True,selected_experiment,VALID
code/experiments/p7c_qwen3_32b_full_cache_worker.py,fcab1551e0a30a6c0566eb010a5b2c4561a6a592033c7fd7c8871cfec3866f96,PASS,True,selected_experiment,VALID
code/experiments/p7d1_qwen3_32b_fault_worker.py,2891f2e6057a60fe2f481ecbbb9b0d85844116d102be1ea61bb31faa50a6dd7e,PASS,True,selected_experiment,VALID
code/fault_screen.py,2eed67ac60833ea423afb686324034037070cb23109d34732c7065adb47b2b6e,PASS,True,reference,VALID
code/mapping.py,f05769b898cbd7994a3f010b10e4d9a9b24a579e7338e65d4485fcd10ded6916,PASS,True,reference,VALID
code/metakv_codec.py,937495f881c9912b8b63c2c81f10371f4c3d549090d50a87df510e919b7faff3,PASS,True,reference,VALID
code/weighting.py,29318278e6a660459689ab9d11ec04c55092a8c3c64044d70abb27e15fbe93de,PASS,True,reference,VALID
